                                             name                                first_name              last_name
                              Muhammad Iqbal Butt                            Muhammad Iqbal                   Butt
                                     Bela De Nagy                                   Bela De                   Nagy
                            Moujhed Fahid Khalifa                             Moujhed Fahid                Khalifa
                             Luis Fernández Ochoa                            Luis Fernández                  Ochoa
                               Khaled Ben Slimene                                Khaled Ben                Slimene
                    Linn-Kristin Riegelhuth Koren                   Linn-Kristin Riegelhuth                  Koren
                                   Rangel da Rosa                                 Rangel da                   Rosa
                               Julio César Enciso                               Julio César                 Enciso
                              Julio César Salazar                               Julio César                Salazar
                                 Amy Mbacké Thiam                                Amy Mbacké                  Thiam
                                   Inge de Bruijn                                   Inge de                 Bruijn
                                             Bagé                                      None                   Bagé
                              Günther von Scheven                               Günther von                Scheven
                            Alaa El-Din El-Shafei                               Alaa El-Din              El-Shafei
                                Abdel Galil Hamza                               Abdel Galil                  Hamza
                                    Liem Kim Leng                                  Liem Kim                   Leng
                                  Hoàng Thị Duyên                                 Hoàng Thị                  Duyên
                                Piet van Klaveren                                  Piet van               Klaveren
                              Heidi Van De Vijver                              Heidi Van De                 Vijver
                                 Adhemar da Silva                                Adhemar da                  Silva
                                 Eddy Van Butsele                                  Eddy Van                Butsele
                                          Lenclos                                      None                Lenclos
                          Síofra Cléirigh Büttner                           Síofra Cléirigh                Büttner
                                   Jan Van Guysse                                   Jan Van                 Guysse
                         Bep van Ipenburg-Drommel                                   Bep van       Ipenburg-Drommel
                                Willy Otto Jordan                                Willy Otto                 Jordan
                       Rodolfos Georgios Alexakos                         Rodolfos Georgios               Alexakos
                                Kasim Ahmed Sayed                               Kasim Ahmed                  Sayed
                           Sulaiman Juma Al-Habsi                             Sulaiman Juma               Al-Habsi
                            Giovanni Leone Reggio                            Giovanni Leone                 Reggio
                                   Mia Bau Hansen                                   Mia Bau                 Hansen
                                  Iván de la Peña                                Iván de la                   Peña
                             Miguel Ángel Sánchez                              Miguel Ángel                Sánchez
                              Miguel Silva Júnior                              Miguel Silva                 Júnior
                           Dalila Abdulkadir Gosa                         Dalila Abdulkadir                   Gosa
                              Nelson Pessoa Filho                             Nelson Pessoa                  Filho
                  Cocki van Engelsdorp Gastelaars                      Cocki van Engelsdorp             Gastelaars
                             José Ángel Galiñanes                                José Ángel              Galiñanes
                                    Ali Rıza Alan                                  Ali Rıza                   Alan
                                Bouguera El Ouafi                               Bouguera El                  Ouafi
                                Judith van Kampen                                Judith van                 Kampen
                                Sylla M'Mah Touré                               Sylla M'Mah                  Touré
                                            Bimba                                      None                  Bimba
                                           Zózimo                                      None                 Zózimo
                                 Nguyễn Thị Thiết                                Nguyễn Thị                  Thiết
                                Marisa de Aniceto                                 Marisa de                Aniceto
                             Maria Grazia Mancuso                              Maria Grazia                Mancuso
                                     Rui de Abreu                                    Rui de                  Abreu
                              Tine Rasmussen Baun                            Tine Rasmussen                   Baun
                         Mohammed Yaseen Mohammed                           Mohammed Yaseen               Mohammed
                                   Garth Da Silva                                  Garth Da                  Silva
                               Villy Moll Nielsen                                Villy Moll                Nielsen
                                       Mok Ka Sha                                    Mok Ka                    Sha
                                   Anne le Helley                                   Anne le                 Helley
                             George Marian Colțea                             George Marian                 Colțea
                                            Juani                                      None                  Juani
                            Wallace Spearmon, Jr.                         Wallace Spearmon,                    Jr.
                                      Carioquinha                                      None            Carioquinha
                                  Jack Kelly, Sr.                               Jack Kelly,                    Sr.
                                    A. H. Gödings                                     A. H.                Gödings
                              Márta Vastagh Regős                             Márta Vastagh                  Regős
                                      Bernardinho                                      None            Bernardinho
                            Eðvarð Þór Eðvarðsson                                Eðvarð Þór             Eðvarðsson
                         Abu Al-Yazid El-Halawani                              Abu Al-Yazid            El-Halawani
                                  Glenn Jobe, Jr.                               Glenn Jobe,                    Jr.
                                Enrique del Valle                               Enrique del                  Valle
                                     Lam Kok Meng                                   Lam Kok                   Meng
                                 Emil Rudolf Weiß                               Emil Rudolf                   Weiß
                                 Arya Nasimi Shad                               Arya Nasimi                   Shad
                                 Eugene R. Rogers                                 Eugene R.                 Rogers
                                    Manie van Zyl                                 Manie van                    Zyl
                                    João de Souza                                   João de                  Souza
                             August Ringvold, Sr.                          August Ringvold,                    Sr.
                              Nguyễn Thị Hoàng Na                          Nguyễn Thị Hoàng                     Na
                              Papa M'Baye N'Diaye                               Papa M'Baye                N'Diaye
                               Patrick van Kalken                               Patrick van                 Kalken
                       Zantzinger, Borie & Medary                       Zantzinger, Borie &                 Medary
                      Eugen Freiherr von Lotzbeck                        Eugen Freiherr von               Lotzbeck
                                 Martina De Memme                                Martina De                  Memme
                            Amandine Allou Affoué                            Amandine Allou                 Affoué
                                  Uasi Vi Kohinoa                                   Uasi Vi                Kohinoa
                             Alessandro De Botton                             Alessandro De                 Botton
                          Arantxa Sánchez Vicario                           Arantxa Sánchez                Vicario
                                  Gustaaf De Smet                                Gustaaf De                   Smet
                                            Pelat                                      None                  Pelat
                      Alberto Alberani Samaritani                          Alberto Alberani             Samaritani
                               Arshad Ali Chaudry                                Arshad Ali                Chaudry
                             Vegard Stake Laengen                              Vegard Stake                Laengen
                                Marcell Deák Nagy                              Marcell Deák                   Nagy
                                  José de la Casa                                José de la                   Casa
                                  Sytske de Groot                                 Sytske de                  Groot
                      Bernard, Comte de Pourtalès                         Bernard, Comte de              Pourtalès
                             José Vicente Salinas                              José Vicente                Salinas
                                    B. J. Bedford                                     B. J.                Bedford
                                     Anne van Dam                                  Anne van                    Dam
                          Miroslav Bedřich Böhnel                          Miroslav Bedřich                 Böhnel
                           Willem van Walt Meijer                           Willem van Walt                 Meijer
                               Stéphane N'Zue Mba                            Stéphane N'Zue                    Mba
                               Mario Aldo Montano                                Mario Aldo                Montano
                                Paolo Della Santa                               Paolo Della                  Santa
                                   Awa Ly N'Diaye                                    Awa Ly                N'Diaye
                                           Pepote                                      None                 Pepote
                              Robyn Ah Mow-Santos                                  Robyn Ah             Mow-Santos
                                    Kees van Vugt                                  Kees van                   Vugt
                                           Mugner                                      None                 Mugner
             Henri, Comte de Cazenave de Pradines               Henri, Comte de Cazenave de               Pradines
                                          Clapier                                      None                Clapier
                       Myriam van Rooyen-Steenman                                Myriam van        Rooyen-Steenman
                         María Victoria Rodríguez                            María Victoria              Rodríguez
                                      So Kam Tong                                    So Kam                   Tong
                              Ndeye Binta Diongue                               Ndeye Binta                Diongue
                                 Kate van Buskirk                                  Kate van                Buskirk
                                 Eduardo de Sousa                                Eduardo de                  Sousa
                                      Ho Koh Chye                                    Ho Koh                   Chye
                                      Ola By Rise                                    Ola By                   Rise
                                Pierre St. Martin                                Pierre St.                 Martin
                                  Vít Fousek, Jr.                               Vít Fousek,                    Jr.
                            Michael Anthony Nunes                           Michael Anthony                  Nunes
                                    Leung Chu Yan                                 Leung Chu                    Yan
                                       Dubourdieu                                      None             Dubourdieu
                                 Juan Pablo Sorín                                Juan Pablo                  Sorín
                             Lieselotte Van Lindt                            Lieselotte Van                  Lindt
                                  Henri Saint Cyr                               Henri Saint                    Cyr
                              Juan Carlos Navarro                               Juan Carlos                Navarro
                                          Somnath                                      None                Somnath
                                  Antoine De Buck                                Antoine De                   Buck
                          Devohn Noronha Teixeira                            Devohn Noronha               Teixeira
                                       Nhi Lan Le                                   Nhi Lan                     Le
                                  Daniel Pon Mony                                Daniel Pon                   Mony
                                       Jo de Boer                                     Jo de                   Boer
                                Steen Lund Hansen                                Steen Lund                 Hansen
                               Sameh Abdel Rahman                               Sameh Abdel                 Rahman
                                  Yvonne Van Bets                                Yvonne Van                   Bets
                            Abdel Krim Ben Djemil                            Abdel Krim Ben                 Djemil
                                Karl Otto Thaning                                 Karl Otto                Thaning
                                            Mochs                                      None                  Mochs
                               Miguel Ángel López                              Miguel Ángel                  López
                         Léopold Buffin de Chosal                         Léopold Buffin de                 Chosal
                               Poul Byrge Poulsen                                Poul Byrge                Poulsen
                               Malay Kumar Lahiri                               Malay Kumar                 Lahiri
                                 Mario van Baarle                                 Mario van                 Baarle
                                            Fábio                                      None                  Fábio
                               Víctor Hugo Castro                               Víctor Hugo                 Castro
                                Francisco de León                              Francisco de                   León
                                   Bob Blatt, Jr.                                Bob Blatt,                    Jr.
                                           Savita                                      None                 Savita
                              Tulia Ángela Medina                              Tulia Ángela                 Medina
                                        Camilinha                                      None              Camilinha
                                 Mauri da Fonseca                                  Mauri da                Fonseca
                                              Meg                                      None                    Meg
                              William Van Voorhis                               William Van                Voorhis
                             Luis Hernández Heres                            Luis Hernández                  Heres
                                           Marnix                                      None                 Marnix
                               Johan van Schreven                                 Johan van               Schreven
                             Mohamed Ali Mahjoubi                               Mohamed Ali               Mahjoubi
                            Mouna Ben Abderassoul                                 Mouna Ben            Abderassoul
                              María Elena Ramírez                               María Elena                Ramírez
                                        Khamphanh                                      None              Khamphanh
                                            Kitti                                      None                  Kitti
                                        Lightfoot                                      None              Lightfoot
                              Ahmed Bushara Wahba                             Ahmed Bushara                  Wahba
                          Ole Christiansen Degnæs                          Ole Christiansen                 Degnæs
                                Ennio de Oliveira                                  Ennio de               Oliveira
                                   Devis Da Canal                                  Devis Da                  Canal
                            Ángela María Espinoza                              Ángela María               Espinoza
                                          Lacoste                                      None                Lacoste
                     Sultan Abdulmajeed Al-Habshi                        Sultan Abdulmajeed              Al-Habshi
                                 Henri Padou, Jr.                              Henri Padou,                    Jr.
                             David, Lord Burghley                               David, Lord               Burghley
                                           Roudon                                      None                 Roudon
                               Vincent Le Dauphin                                Vincent Le                Dauphin
                             Marthinus du Plessis                              Marthinus du                Plessis
                                   Aurelio Chu Yi                               Aurelio Chu                     Yi
                          d’Auzac de la Maratinie                             d’Auzac de la              Maratinie
                              Jørgen Boye Nielsen                               Jørgen Boye                Nielsen
                          Morten Stig Christensen                               Morten Stig            Christensen
                                      Gyi Khin Pe                                  Gyi Khin                     Pe
                              Windy Cantika Aisah                             Windy Cantika                  Aisah
                                    Lars Ove Moen                                  Lars Ove                   Moen
                        Diego Aguirre Gómez Corta                       Diego Aguirre Gómez                  Corta
                                Mien van den Berg                              Mien van den                   Berg
                             Leonel Wilfredo Ruiz                           Leonel Wilfredo                   Ruiz
                            Rashid Sheban Marzouk                             Rashid Sheban                Marzouk
                    El-Sayed Ibrahim Abdel Fattah                    El-Sayed Ibrahim Abdel                 Fattah
                                        Adalberto                                      None              Adalberto
                       Ansela Marlen Wijewickrema                             Ansela Marlen           Wijewickrema
                              José Luis de Frutos                              José Luis de                 Frutos
                               José Esteban Valle                              José Esteban                  Valle
                      Anne Grethe Jensen-Törnblad                               Anne Grethe        Jensen-Törnblad
                                  Albino da Silva                                 Albino da                  Silva
                            Nauraj Singh Randhawa                              Nauraj Singh               Randhawa
                          Maharaj Krishon Kaushik                           Maharaj Krishon                Kaushik
                                     Tin Aung Moe                                  Tin Aung                    Moe
                             Jens Aalholm Gjerløw                              Jens Aalholm                Gjerløw
                               Juan Antonio Ramos                              Juan Antonio                  Ramos
                               Alfonso de Gortari                                Alfonso de                Gortari
                                      Jos De Jong                                    Jos De                   Jong
                                 Khalifa St. Fort                               Khalifa St.                   Fort
                                   Jorge de Paula                                  Jorge de                  Paula
                            Fernando San Emeterio                              Fernando San               Emeterio
                              Rose Van Crombrugge                                  Rose Van             Crombrugge
                                    Chan Lam Hams                                  Chan Lam                   Hams
                              Luiz Alberto Araújo                              Luiz Alberto                 Araújo
                               Omar Enrique Pumar                              Omar Enrique                  Pumar
                        Saleh Sultan Farhan Faraj                       Saleh Sultan Farhan                  Faraj
                                   Paul De Backer                                   Paul De                 Backer
                               Casimiro Asumu Nze                            Casimiro Asumu                    Nze
                                         Triyatno                                      None               Triyatno
                                Silvia Del Rincón                                Silvia Del                 Rincón
                                           Leleur                                      None                 Leleur
                             María Dolores Pulido                             María Dolores                 Pulido
                                           Cilene                                      None                 Cilene
                                            Zooks                                      None                  Zooks
                               Caia van Maasakker                                  Caia van              Maasakker
                              Mercy Apondi Obiero                              Mercy Apondi                 Obiero
                            Jeanette Ottesen Gray                          Jeanette Ottesen                   Gray
                                          Bolívar                                      None                Bolívar
                                      Lee Hup Wei                                   Lee Hup                    Wei
                                  Piet de Brouwer                                   Piet de                Brouwer
                               Jens Lurås Oftebro                                Jens Lurås                Oftebro
                            Jean-Marie le Guillou                             Jean-Marie le                Guillou
                              María Teresa Valdés                              María Teresa                 Valdés
                              Per Kristian Hunder                              Per Kristian                 Hunder
                                 Johnnie van Gent                               Johnnie van                   Gent
                                Tom Brewster, Jr.                             Tom Brewster,                    Jr.
                           Hans-Georg von der Ohe                        Hans-Georg von der                    Ohe
                           Juan Francisco Zanassi                            Juan Francisco                Zanassi
                                  Khoo Chong Beng                                Khoo Chong                   Beng
                            Ángel Carlos Gagliano                              Ángel Carlos               Gagliano
                                 Dexter St. Louis                                Dexter St.                  Louis
                           Mohamed Hamed Al-Bishi                             Mohamed Hamed               Al-Bishi
                                    Chan Kin Ngai                                  Chan Kin                   Ngai
                                   E. H. Robinson                                     E. H.               Robinson
                                    Tang Yik Chun                                  Tang Yik                   Chun
                                 Tang Kwok Cheung                                 Tang Kwok                 Cheung
                              Ícaro Miguel Soares                              Ícaro Miguel                 Soares
                                 Xaver Frick, Jr.                              Xaver Frick,                    Jr.
                                           Washer                                      None                 Washer
                               Şaziye İvegin Üner                             Şaziye İvegin                   Üner
                                Anna Van der Kamp                              Anna Van der                   Kamp
                                  Ray Hadley, Jr.                               Ray Hadley,                    Jr.
                             J. Cavendish Darrell                              J. Cavendish                Darrell
                                  W. S. Sanderson                                     W. S.              Sanderson
                              Cornelis van Lummel                              Cornelis van                 Lummel
                               Kresno Eko Pambudi                                Kresno Eko                Pambudi
                                           Pinaud                                      None                 Pinaud
                                            Lucão                                      None                  Lucão
                                      Ko Lai Chak                                    Ko Lai                   Chak
                                Michel Van Haecke                                Michel Van                 Haecke
                                    Koo Kien Keat                                  Koo Kien                   Keat
                               Simon Robert Naali                              Simon Robert                  Naali
                                           Sylvos                                      None                 Sylvos
                                      E. J. Roach                                     E. J.                  Roach
                             Heinrich Karl Scholz                             Heinrich Karl                 Scholz
                             Pier Alberto Testoni                              Pier Alberto                Testoni
                            Cornelis van der Walt                          Cornelis van der                   Walt
                                   Lili Anna Tóth                                 Lili Anna                   Tóth
                             Jean Baptiste Okello                             Jean Baptiste                 Okello
                                   Brett de Thier                                  Brett de                  Thier
                        Oscar, Ridder van Rappard                         Oscar, Ridder van                Rappard
                          Marcelien Bos-de Koning                          Marcelien Bos-de                 Koning
                               Stefan Due Schmidt                                Stefan Due                Schmidt
                             Randhir Singh Gentle                             Randhir Singh                 Gentle
                             Heather Mary Purnell                              Heather Mary                Purnell
                                         Debailly                                      None               Debailly
                             Gian Carlo Ronchetti                                Gian Carlo              Ronchetti
                                        B. R. Orr                                     B. R.                    Orr
                    Waleed Al-Mohamed Abdulmuhsin                         Waleed Al-Mohamed            Abdulmuhsin
                               Fritz Felix Piepes                               Fritz Felix                 Piepes
                           Óscar Álvarez González                             Óscar Álvarez               González
                                        Hortência                                      None              Hortência
                                Ruud van Feggelen                                  Ruud van               Feggelen
                                           Vivian                                      None                 Vivian
                          Marita Skammelsrud Lund                        Marita Skammelsrud                   Lund
                                 Fayek 'Adly 'Azb                               Fayek 'Adly                   'Azb
                          Víctor Hugo Aristizábal                               Víctor Hugo            Aristizábal
                                   Tan Boon Heong                                  Tan Boon                  Heong
                           Jakob Erckrath de Bary                         Jakob Erckrath de                   Bary
                             Daniel Andrei Cacina                             Daniel Andrei                 Cacina
                                        Motiullah                                      None              Motiullah
                        Kristian Skjødt Kjærgaard                           Kristian Skjødt              Kjærgaard
                                            Minot                                      None                  Minot
                                 José Ángel César                                José Ángel                  César
                                            Boyer                                      None                  Boyer
                             Lone Kroman Petersen                               Lone Kroman               Petersen
                               Charlene von Saher                              Charlene von                  Saher
                          Laura del Carmen Moreno                          Laura del Carmen                 Moreno
                 Stylianos Argyropoulos Kanakakis                    Stylianos Argyropoulos              Kanakakis
                                     Pál De Rosty                                    Pál De                  Rosty
                                 Alice Van Bergen                                 Alice Van                 Bergen
                                   Leung Chii Lin                                Leung Chii                    Lin
                                           Jesuli                                      None                 Jesuli
                                            Maury                                      None                  Maury
                                    H. R. Gilbert                                     H. R.                Gilbert
                        Luis Francisco Weihmuller                            Luis Francisco             Weihmuller
                                     Ng Tsuen Man                                  Ng Tsuen                    Man
                             María Fernanda Pérez                            María Fernanda                  Pérez
                               Malkit Singh Sondh                              Malkit Singh                  Sondh
                                           Faulin                                      None                 Faulin
                            Riccardo De Magistris                               Riccardo De              Magistris
                                          Gustavo                                      None                Gustavo
                           Khaled Fahd Al-Rasheed                               Khaled Fahd             Al-Rasheed
                         Rashid Salim Al-Ma'Shari                              Rashid Salim            Al-Ma'Shari
                                  Jules de Pradel                                  Jules de                 Pradel
                                 W. R. McCullough                                     W. R.             McCullough
                         Dorothy Lambert Chambers                           Dorothy Lambert               Chambers
                              Dennis Otzen Jensen                              Dennis Otzen                 Jensen
                       Suzanne Silvercruys Farnam                       Suzanne Silvercruys                 Farnam
                                           Paidjo                                      None                 Paidjo
                               Alma Rosa Martínez                                 Alma Rosa               Martínez
                                Jack Nielsen, Jr.                             Jack Nielsen,                    Jr.
                                    Juan de Armas                                   Juan de                  Armas
                                           Antony                                      None                 Antony
                                         Bruninho                                      None               Bruninho
                            Abdul Ghafar Ghafoori                              Abdul Ghafar               Ghafoori
                             Simen Hegstad Krüger                             Simen Hegstad                 Krüger
                                Johan V. Andersen                                  Johan V.               Andersen
                       Stanisław Gąsienica Daniel                       Stanisław Gąsienica                 Daniel
                                 Juan José Torres                                 Juan José                 Torres
                            Laëtitia Le Corguillé                               Laëtitia Le              Corguillé
                                Josef Straka, Sr.                             Josef Straka,                    Sr.
                                        Ho Chi Ho                                    Ho Chi                     Ho
                                Jolanda van Duren                               Jolanda van                  Duren
                               Edwige Abéna Fouda                              Edwige Abéna                  Fouda
                                Jan Peter Peckolt                                 Jan Peter                Peckolt
                              Marit Malm Frafjord                                Marit Malm               Frafjord
                              Joaquín de Aguilera                                Joaquín de               Aguilera
                                            Yaken                                      None                  Yaken
                                        Gaudermeu                                      None              Gaudermeu
                          Nils van 't Hoenderdaal                               Nils van 't            Hoenderdaal
                         Jean-Paul Martin du Gard                       Jean-Paul Martin du                   Gard
                                  Yeung Chui Ling                                Yeung Chui                   Ling
                                  Chris van Eeden                                 Chris van                  Eeden
                               Érika Leal Ramírez                                Érika Leal                Ramírez
                                   Naser Al Shami                                  Naser Al                  Shami
                         William González Taborda                          William González                Taborda
                                Ali Hamid El-Aila                                 Ali Hamid                El-Aila
                              Leandro Ribera Abad                            Leandro Ribera                   Abad
                                  Joseph De Combe                                 Joseph De                  Combe
                                   Rafik Ben Amor                                 Rafik Ben                   Amor
                                  Tilak Ram Tharu                                 Tilak Ram                  Tharu
                              Tekiath Ben Yessouf                               Tekiath Ben                Yessouf
                             Alessandro De Marchi                             Alessandro De                 Marchi
                               Juan Bautista Pina                             Juan Bautista                   Pina
                                           Valdir                                      None                 Valdir
                       Niluka Geethani Rajasekara                           Niluka Geethani             Rajasekara
                             María Fernanda Lauro                            María Fernanda                  Lauro
                                 Ton van Klooster                                   Ton van               Klooster
                             Winarni Binti Slamet                             Winarni Binti                 Slamet
                                  Pierre De Soete                                 Pierre De                  Soete
                             Luis Felipe Martínez                               Luis Felipe               Martínez
                               Juan Manuel Alonso                               Juan Manuel                 Alonso
                                Rubén Darío Gómez                               Rubén Darío                  Gómez
                                Michiel de Ruiter                                Michiel de                 Ruiter
                                Jon Emili Uriarte                                 Jon Emili                Uriarte
                             Waldemar da Silveira                               Waldemar da               Silveira
                          Simeon Woods Richardson                              Simeon Woods             Richardson
                                Julien Van Muysen                                Julien Van                 Muysen
                                   Phan Huy Khảng                                  Phan Huy                  Khảng
                                  José Luis Rubio                                 José Luis                  Rubio
                               José Joaquín Rojas                              José Joaquín                  Rojas
                              Julio César Herrera                               Julio César                Herrera
                               José Pérez Allende                                José Pérez                Allende
                             Juan Ramón Schaeffer                                Juan Ramón              Schaeffer
                             Georges Van De Poele                            Georges Van De                  Poele
                             Trương Thị Kim Tuyến                            Trương Thị Kim                  Tuyến
                                  E. B. Alexander                                     E. B.              Alexander
                                             Guto                                      None                   Guto
                               Juan Pablo Faúndez                                Juan Pablo                Faúndez
                                       Hui Hui Xu                                   Hui Hui                     Xu
                          José Joaquín Santibáñez                              José Joaquín             Santibáñez
                         Pierre Coquelin de Lisle                        Pierre Coquelin de                  Lisle
                               Charline Van Snick                              Charline Van                  Snick
                        Pierre Bertran de Balanda                         Pierre Bertran de                Balanda
                                  Hudson de Souza                                 Hudson de                  Souza
                                   Ðặng Hiếu Hiền                                 Ðặng Hiếu                   Hiền
                             Abubaker Kaki Khamis                             Abubaker Kaki                 Khamis
                            Julio César Salamanca                               Julio César              Salamanca
                                           Stiles                                      None                 Stiles
                                Julio César Falón                               Julio César                  Falón
                                 Herbert von Reyl                               Herbert von                   Reyl
                                 Nicolas le Berre                                Nicolas le                  Berre
                              Oscar de Larrazábal                                  Oscar de             Larrazábal
                                       Lamorsaine                                      None             Lamorsaine
                                Abdul Fattah Hawa                              Abdul Fattah                   Hawa
                              Liesbet Van Breedam                               Liesbet Van                Breedam
                         Devilert Arsene Kimbembe                           Devilert Arsene               Kimbembe
                                   Lương Thị Thảo                                 Lương Thị                   Thảo
                              Johannes van Kampen                              Johannes van                 Kampen
